"","provname","DistName","DivName","locname","sublocname","Areaname","AreaID","townname","WSPName","WSBName","ADist","AreaType","Settlement","Legalised","Alegyr","WaterTableDry","WaterTableRainy","Flooding","Soil","SoilSelfSupporting","AreaLocation","AreaTopology","X","Population","PopDensity","Area","Dwellings","DwellingsWithPipedWaterOnPlot","DwellingsWithWaterSourceOnPlot","DwellingsWithFlushToilets","DwellingsWithOtherImproved","DwellingsWithUnimproved","DwellingsWithOD","SanitationSharing"
"1426","NYANZA","KISUMU EAST","WINAM","TOWN                ","KALOLENI","KALOLENI",60401010101,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",2,"Planned","Area with Informal Housing. ","Legal","1998","It varies from place to place","It varies from place to place","No","Sandy soil. ","Soil is stable. ","Next to a busy road. ","The area has gentle slopes",NA,3021,27464,0.11,110,6,6,1,9,97,0,NA
"1427","NYANZA","KISUMU EAST","WINAM","TOWN                ","KALOLENI","SHAURI MOYO",60401010102,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",1,"Planned","Area With Planned Low Income Housing. ","Legal","Date was not available","More than 9 feet","More than 9 feet","No","Rocky. ","Soil is stable. ","Next to a busy road. ","Flat land",NA,990,4125,0.24,163,NA,2,133,23,5,0,NA
"1428","NYANZA","KISUMU EAST","WINAM","TOWN                ","KALOLENI","UPPER RAILWAYS",60401010103,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",1,"Planned","Area With Planned Low Income Housing. ","Legal","Date was not available","It varies from place to place","It varies from place to place","No","Sandy soil. ","soild conditions differs from place to place. ","Next to a railway line. ","Slightly steep slope",NA,2786,27860,0.1,488,NA,0,482,0,5,0,NA
"1429","NYANZA","KISUMU EAST","WINAM","TOWN                ","KALOLENI","MANYATTA ARABS",60401010104,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",2,"Unplanned","Area With Planned Low Income Housing. ","Illegal","Not Applicable","It varies from place to place","It varies from place to place","No","Loam. ","Pits tend to collapse. ","Next to a busy road. ","The area has a gentle slope",NA,1000,25000,0.04,82,NA,0,4,8,69,0,NA
"1430","NYANZA","KISUMU EAST","WINAM","TOWN                ","SOUTHERN","LOWER RAILWAYS",60401010201,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",1,"Planned","Area With Planned Low Income Housing. ","Legal","Date was not available","More than 9 feet","More than 9 feet","No","Loam. ","Soil is stable. ","Next to a railway line. ","Flat area",NA,902,3758,0.24,139,11,11,138,0,0,0,NA
"1431","NYANZA","KISUMU EAST","WINAM","TOWN                ","NORTHERN","ANDERSON",60401010301,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",1,"Planned","Area With Planned Low Income Housing. ","Legal","Date was not available","More than 9 feet","More than 9 feet","No","Loam. ","Soil is stable. ","Next to a busy road. ","Slightly steep",NA,1347,26940,0.05,246,NA,0,246,0,0,0,NA
"1432","NYANZA","KISUMU EAST","WINAM","TOWN                ","BANDARI","BANDANI",60401010401,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",2,"Unplanned","Informal Settlement. ","Illegal","Not Applicable","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","Pits tend to collapse. ","Next to a railway line. ","The area is slightly steep",NA,4972,124300,0.04,285,NA,10,0,29,253,2,NA
"1433","NYANZA","KISUMU EAST","WINAM","KONDELE             ","MANYATTA 'A'","MANYATTA A",60401020101,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",3,"Unplanned","Area with Informal Housing. ","Legal","1978","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","soild conditions differs from place to place. ","In or near flood plain. ","Slightly steep",NA,44698,24161,1.85,2095,41,635,86,649,1335,20,NA
"1434","NYANZA","KISUMU EAST","WINAM","KONDELE             ","NYAWITA","NYAWITA",60401020201,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",3,"Unplanned","Area with Informal Housing. ","Legal","1975","It varies from place to place","It varies from place to place","No","Sandy soil. ","Soil is stable. ","On a steep slope. ","The area has steep slopes",NA,7361,15662,0.47,359,8,68,16,85,247,8,NA
"1435","NYANZA","KISUMU EAST","WINAM","KONDELE             ","NYAWITA","OBUNGA",60401020202,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",5,"Unplanned","Area with Informal Housing. ","Legal","1978","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","Pits tend to collapse. ","In or near flood plain. ","The area is flat",NA,7915,24734,0.32,337,22,96,0,46,276,12,NA
"1436","NYANZA","KISUMU EAST","WINAM","KONDELE             ","MIGOSI","MIGOSI",60401020301,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",4,"Planned","Area with Informal Housing. ","Legal","1996","It varies from place to place","It varies from place to place","Seasonal","Clay. ","Pits tend to collapse. ","Next to a busy road. ","The area has gentle slope",NA,7185,15967,0.45,287,3,68,18,91,171,3,NA
"1437","NYANZA","KISUMU EAST","WINAM","KOLWA CENTRAL       ","KASULE","NYAMASARIA",60401030101,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",3,"Unplanned","Area with Informal Housing. ","Legal","1978","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","Pits tend to collapse. ","In or near flood plain. ","Slightly flat",NA,3127,6515,0.48,209,2,41,4,57,142,4,NA
"1438","NYANZA","KISUMU EAST","WINAM","KOLWA CENTRAL       ","NYALUNYA","KIBOS",60401030201,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",7,"Unplanned","Area with Informal Housing. ","Legal","1968","More than 9 feet","More than 9 feet","No","Clay. ","Pits tend to collapse. ","Next to a busy road. ","The area is flat",NA,2063,15869,0.13,139,NA,65,0,29,108,0,NA
"1439","NYANZA","KISUMU EAST","WINAM","KOLWA WEST          ","NYALENDA 'B'","NYALENDA B",60401040101,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",6,"Unplanned","Area with Informal Housing. ","Legal","1970","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","Pits tend to collapse. ","In or near flood plain. ","Slightly steep",NA,16626,10726,1.55,932,93,117,26,327,563,10,NA
"1440","NYANZA","KISUMU EAST","WINAM","KOLWA WEST          ","NYALENDA 'A'","NYABERA",60401040201,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",4,"Unplanned","Area with Informal Housing. ","Legal","1972","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","Soil needs lining. ","In or near flood plain. ","The area is slightly steep",NA,4321,7450,0.58,231,NA,25,9,71,139,9,NA
"1441","NYANZA","KISUMU EAST","WINAM","KOLWA WEST          ","NYALENDA 'A'","NYALENDA A",60401040202,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",5,"Unplanned","Area with Informal Housing. ","Legal","1980","It varies from place to place","It varies from place to place","Seasonal","Clay. ","Pits tend to collapse. ","In or near flood plain. ","Slightly steep slope",NA,14317,26513,0.54,706,55,159,0,189,492,22,NA
"1442","NYANZA","KISUMU EAST","WINAM","KOLWA WEST          ","MANYATTA 'B'","MANYATTA B",60401040301,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",5,"Unplanned","Area with Informal Housing. ","Legal","1985","It varies from place to place","It varies from place to place","Seasonal","Clay. ","Pits tend to collapse. ","In or near flood plain. ","Area is flat",NA,29446,12859,2.29,1628,36,227,28,402,1155,40,NA
"1443","NYANZA","KISUMU EAST","WINAM","KOLWA EAST          ","CHIGA","CHIGA",60401050301,"KISUMU","Kisumu Water and Sewerage Company","LAKE VICTORIA SOUTH ",8,"Unplanned","Area with Informal Housing. ","Legal","1997","It varies from place to place","It varies from place to place","Seasonal","Sandy soil. ","Pits tend to collapse. ","In or near flood plain. ","The area is slightly flat",NA,218,2422,0.09,16,NA,4,0,4,12,0,NA
